"","x"
"167",1.06482423556928
"168",1.0400521929671
"169",1.07590266090215
"170",1.06894885083575
"171",1.07249372884275
"172",1.11721873107099
"173",1.08159460738419
"174",1.06685168350774
"175",1.08260039047408
"176",1.11372653855088
"177",1.17412424756895
"178",1.14979822398543
"179",1.14134276058486
"180",1.14547154053139
"181",1.10831424244675
"182",1.20171722575884
"183",1.05570454125164
"184",1.00086860125195
"185",1.01631003795606
"186",1.05156349040032
"187",1.02997458540043
"188",1.09993728167643
"189",1.09944384107252
"190",1.10596082376973
"191",1.11277624790638
"192",1.13795630975454
"193",1.14723167660539
"194",1.12300220039488
"195",1.04024073651175
"196",1.1070414094486
"197",1.05402584117996
"198",0.998947506704624
"199",0.985671069118103
"200",0.980052190845655
"201",1.06685701460401
"202",1.08378115401637
"203",1.10377730555616
"204",1.09183024087559
"205",1.10327603209953
"206",1.11123796870104
"207",1.14076542087285
"208",1.16832808008657
"209",1.23825323807545
"210",1.16849418115768
"211",1.07948334129674
"212",1.12080667869004
"213",1.16361691442646
"214",1.2168741684551
"215",1.26350797209352
"216",1.31141627305552
"217",1.22561491162574
"218",1.14921128350249
"219",1.19010319337981
"220",1.20460918060518
"221",1.02189206321947
"222",1.09862775619436
"223",1.12806058792336
"224",1.16581405594298
"225",1.16402298900664
"226",1.20915027058289
"227",1.24192014217319
"228",1.18129962685455
"229",1.19069305821757
"230",1.15430613991125
"231",1.20722732766196
"232",1.28555073924233
"233",1.27503207165
"234",1.24156681962081
"235",1.26079833975564
"236",1.29867016173101
"237",1.31998845036105
"238",1.32022233894971
"239",1.32349949593115
"240",1.28816906335248
"241",1.22499071634805
"242",1.25430184608902
"243",1.1838997217518
"244",1.30309320307718
"245",1.32184508928684
"246",1.32034719660394
"247",1.35615154439815
"248",1.41065962620309
"249",1.335825986702
"250",1.41020372923752
"251",1.52531169844768
"252",1.49858490033071
"253",1.49636361688386
"254",1.58005451577329
"255",1.5005393595105
"256",1.54323255475839
"257",1.53444369838916
"258",1.51436587241813
"259",1.52994922377219
"260",1.49917623726776
"261",1.46379622659117
"262",1.40301282931202
"263",1.3424497546436
"264",1.41606500432013
"265",1.55937271795331
"266",1.53361560085416
"267",1.61862042125854
"268",1.61324129319954
"269",1.39528425796676
"270",1.36263043036805
"271",1.47425313913135
"272",1.5031559033464
"273",1.53377154393444
"274",1.54499691666574
"275",1.52378869163473
"276",1.4413951611596
"277",1.48109954938432
"278",1.41957315433767
"279",1.36331177963421
"280",1.45484332436245
"281",1.39764027738263
"282",1.56781948387605
"283",1.48194700999705
"284",1.6346083685492
"285",1.59646411268898
"286",1.391808914026
"287",1.31488502967807
"288",1.34676890667692
"289",1.33459024270699
"290",1.24602605738463
"291",1.27526026659014
"292",1.35966596387204
"293",1.44520973504894
"294",1.40790907365423
"295",1.47853207858699
"296",1.53809241120615
"297",1.55959988004419
"298",1.42797348106489
"299",1.44803101883118
"300",1.4835492253926
"301",1.43095568889061
"302",1.37011496510821
"303",1.33837776640794
"304",1.48393123520692
"305",1.52410269514845
"306",1.53758706351725
"307",1.50098109859575
"308",1.39673630799501
"309",1.37376514370945
"310",1.35448787531311
"311",1.41568646286318
"312",1.40919525991289
"313",1.37122760919981
"314",1.44952148125793
"315",1.44320138643989
"316",1.39746350081062
"317",1.35366297397043
"318",1.35006650647117
"319",1.28236974552254
"320",1.28890397065035
"321",1.29618870983295
"322",1.37347425790589
"323",1.37922280327991
"324",1.21776811765857
"325",1.22680132351503
"326",1.16539454369908
"327",1.22685783062306
"328",1.26755565124943
"329",1.30927024889374
"330",1.34948261134558
"331",1.3656485117187
"332",1.3502277604982
"333",1.2530920763736
"334",1.13150494054923
"335",1.18185110052045
"336",1.23161530010729
"337",1.21065179156996
"338",1.17614071948364
"339",1.1237514210566
"340",1.16849498452691
"341",1.26914990143665
"342",1.27398162503999
"343",1.1803499769833
"344",1.16409324526968
"345",1.1398915716339
"346",1.20702543765889
"347",1.28055656324578
"348",1.26038626636382
"349",1.21448891608165
"350",1.18900762884905
"351",1.18918194723619
"352",1.2649362327032
"353",1.29156659177473
"354",1.24306154768812
"355",1.25783733943305
"356",1.24056326813759
"357",1.28127007943178
"358",1.28162351555372
"359",1.31151947148157
"360",1.24948003876895
"361",1.29734065824991
"362",1.2727237385953
"363",1.18045873629255
"364",1.14688859441732
"365",1.21607735433047
