d,TC
218,1.149211284
219,1.190103193
220,1.204609181
221,1.021892063
222,1.098627756
223,1.128060588
224,1.165814056
225,1.164022989
226,1.209150271
227,1.241920142
228,1.181299627
229,1.190693058
230,1.15430614
231,1.207227328
232,1.285550739
233,1.275032072
234,1.24156682
235,1.26079834
236,1.298670162
237,1.31998845
238,1.320222339
239,1.323499496
240,1.288169063
241,1.224990716
242,1.254301846
243,1.183899722
244,1.303093203
245,1.321845089
246,1.320347197
247,1.356151544
248,1.410659626
249,1.335825987
250,1.410203729
251,1.525311698
252,1.4985849
253,1.496363617
254,1.580054516
255,1.50053936
256,1.543232555
257,1.534443698
258,1.514365872
259,1.529949224
260,1.499176237
261,1.463796227
262,1.403012829
263,1.342449755
264,1.416065004
265,1.559372718
266,1.533615601
267,1.618620421
268,1.613241293
269,1.395284258
270,1.36263043
271,1.474253139
272,1.503155903
273,1.533771544
274,1.544996917
275,1.523788692
276,1.441395161
277,1.481099549
278,1.419573154
279,1.36331178
280,1.454843324
281,1.397640277
282,1.567819484
283,1.48194701
284,1.634608369
285,1.596464113
286,1.391808914
287,1.31488503
288,1.346768907
289,1.334590243
290,1.246026057
291,1.275260267
292,1.359665964
293,1.445209735
294,1.407909074
295,1.478532079
296,1.538092411
297,1.55959988
298,1.427973481
299,1.448031019
300,1.483549225
301,1.430955689
302,1.370114965
303,1.338377766
304,1.483931235
305,1.524102695
306,1.537587064
307,1.500981099
308,1.396736308
309,1.373765144
310,1.354487875
311,1.415686463
312,1.40919526
313,1.371227609
314,1.449521481
315,1.443201386
316,1.397463501
317,1.353662974
318,1.350066506
319,1.282369746
320,1.288903971
321,1.29618871
322,1.373474258
323,1.379222803
324,1.217768118
325,1.226801324
326,1.165394544
327,1.226857831
328,1.267555651
329,1.309270249
330,1.349482611
331,1.365648512
332,1.35022776
333,1.253092076
334,1.131504941
335,1.181851101
336,1.2316153
337,1.210651792
338,1.176140719
339,1.123751421
340,1.168494985
341,1.269149901
342,1.273981625
343,1.180349977
344,1.164093245
345,1.139891572
346,1.207025438
347,1.280556563
348,1.260386266
349,1.214488916
350,1.189007629
351,1.189181947
352,1.264936233
353,1.291566592
354,1.243061548
355,1.257837339
356,1.240563268
357,1.281270079
358,1.281623516
359,1.311519471
360,1.249480039
361,1.297340658
362,1.272723739
363,1.180458736
364,1.146888594
365,1.216077354
366,0.856963644
367,0.975681986
368,1.044404692
369,1.075418077
370,1.083660782
371,1.113410946
372,1.094333797
373,1.045320511
374,0.896283431
375,0.890752584
376,0.846807871
377,0.925355492
378,0.998306109
379,0.916837307
380,0.923826316
381,0.865815993
382,0.891972693
383,0.902388142
384,0.832917563
385,0.816125639
386,0.865313665
387,0.853661299
388,0.834331967
389,0.816919291
390,0.787720559
391,0.806271016
392,0.749163245
393,0.722170779
394,0.778152827
395,0.796138551
396,0.755067128
397,0.711150041
398,0.711044937
399,0.718016626
400,0.79030075
401,0.809571936
402,0.834193425
403,0.781216651
404,0.783794888
405,0.795652758
406,0.765774327
407,0.77418405
408,0.871544111
409,0.899079097
410,0.87388878
411,0.850741832
412,0.836199247
413,0.841762729
414,0.832534271
415,0.866368933
416,0.828802745
417,0.791946032
418,0.805975382
419,0.801024362
420,0.787935274
421,0.802593088
422,0.811633796
423,0.829878221
424,0.824098899
425,0.81001051
426,0.848070597
427,0.837524508
428,0.791884181
429,0.75095977
430,0.792911488
431,0.771211116
432,0.776749852
433,0.824967007
434,0.783906694
435,0.797566322
436,0.78147517
437,0.788164397
438,0.765213803
439,0.766349834
440,0.75457941
441,0.745806561
442,0.743165383
443,0.79753721
444,0.803423647
445,0.766193205
446,0.739104446
447,0.703274245
448,0.73281955
449,0.734200857
450,0.762056987
451,0.773019821
452,0.78676832
453,0.737900939
454,0.762406496
455,0.765842256
456,0.755359953
457,0.749498957
458,0.76707182
459,0.778683358
460,0.80865612
461,0.774913816
462,0.773625539
463,0.784168559
464,0.78920196
465,0.767327366
466,0.774456688
467,0.798529206
468,0.769438044
469,0.803008346
470,0.839353511
471,0.837350353
472,0.816887404
473,0.818009651
474,0.836292469
475,0.846535805
476,0.846738462
477,0.832746101
478,0.832567774
479,0.796825977
480,0.814799241
481,0.818706264
482,0.823149968
483,0.792340686
484,0.817001158
485,0.855751853
486,0.849616183
487,0.886129158
488,0.892483053
489,0.862271467
490,0.86459333
491,0.887256073
492,0.902573981
493,0.885932722
494,0.841615417
495,0.867552861
496,0.886248338
497,0.896377999
498,0.890660043
499,0.930684942
500,0.910581691
501,0.88778917
502,0.837059543
503,0.865436936
504,0.877692311
505,0.891112788
506,0.930177123
507,0.920278299
508,0.944643546
509,0.944375907
510,0.944166465
511,0.940034563
512,0.95530233
513,0.965163196
514,0.965492701
515,0.958318744
516,0.919247106
517,0.955269261
518,0.988164543
519,0.902192594
520,0.892626796
521,0.930794517
522,0.923082383
523,0.956367178
524,0.94056448
525,0.912135833
526,0.923174221
527,0.92153455
528,0.940677401
529,1.011359961
530,1.061411658
531,1.003864709
532,1.013917674
533,1.043107362
534,1.065181803
535,1.040326163
536,1.076255175
537,1.06928023
538,1.072806987
539,1.117574668
540,1.081899576
541,1.067120292
542,1.082885097
543,1.114034522
544,1.174491834
545,1.150105606
546,1.141626577
547,1.145802635
548,1.108671452
549,1.20213606
550,1.055911185
551,1.001180042
552,1.016599398
553,1.051839372
554,1.03017156
555,1.100187009
556,1.09968177
557,1.10624221
558,1.113066448
559,1.138265468
560,1.147544219
561,1.123300631
562,1.040426112
563,1.107301232
564,1.054274629
565,0.999187324
566,0.985883462
567,0.980243468
568,1.067158921
569,1.084063034
570,1.104084049
571,1.092136388
572,1.103543085
573,1.111480107
574,1.141012516
575,1.168561278
576,1.23855138
577,1.168754899
578,1.079736197
579,1.121072989
580,1.163905845
581,1.217139741
582,1.263737298
583,1.311655028
584,1.2258431
585,1.149449086
586,1.190330574
587,1.204847385
588,1.022013311
589,1.098835108
590,1.128278156
591,1.166038992
592,1.164206786
593,1.209313822
594,1.242062963
595,1.181410852
596,1.190828983
597,1.161501032
598,1.214638498
599,1.285428945
600,1.275139994
601,1.241654731
602,1.260880261
603,1.298759387
604,1.320068845
605,1.320293738
606,1.323570373
607,1.288238793
608,1.225042348
609,1.254354988
610,1.183935061
611,1.303117829
612,1.321855065
613,1.320345989
614,1.356138627
615,1.410636787
616,1.33579564
617,1.410165542
618,1.525265911
619,1.498534067
620,1.496315217
621,1.579990306
622,1.53156734
623,1.583029928
624,1.534336337
625,1.51421654
626,1.529812501
627,1.499014972
628,1.4523045
629,1.390313752
630,1.342537099
631,1.415812634
632,1.559049594
633,1.533347966
634,1.618323507
635,1.612948643
636,1.394933258
637,1.36225945
638,1.473943014
639,1.502770843
640,1.533401781
641,1.54459541
642,1.52330003
643,1.440942358
644,1.480723639
645,1.419252138
646,1.363032769
647,1.454432682
648,1.39741582
649,1.567283535
650,1.481622872
651,1.618793112
652,1.550400258
653,1.383788906
654,1.283351614
655,1.358893394
656,1.38424144
657,1.260377128
658,1.286411625
659,1.363771882
660,1.444531691
661,1.408619501
662,1.473359574
663,1.53807592
664,1.485022487
665,1.393865248
666,1.450083278
667,1.496651031
668,1.424660309
669,1.374053233
670,1.410338187
671,1.431684109
672,1.469521658
673,1.536245372
674,1.496307146
675,1.400983494
676,1.387418211
677,1.367158844
678,1.39967662
679,1.425084265
680,1.452489153
681,1.45941321
682,1.465098365
683,1.454878928
684,1.358264994
685,1.376865239
686,1.380137106
687,1.381321173
688,1.39376906
689,1.418369279
690,1.350789068
691,1.205133582
692,1.279415464
693,1.108021174
694,1.207468413
695,1.352277549
696,1.413864056
697,1.436413234
698,1.422258801
699,1.320675996
700,1.199443958
701,1.141348437
702,1.182061174
703,1.244546618
704,1.224008727
705,1.091131008
706,1.142597596
707,1.183334884
708,1.247260385
709,1.241795804
710,1.168029176
