"","ID","Date","Mass","Length","Loc"
"291",194,2008-11-18,331,131.4,"EB"
"292",196,1992-11-17,318,132,"EB"
"293",196,1992-11-18,318,132,"Perth Zoo"
"296",196,1999-07-21,320.8,131.1,"EB"
"305",196,2003-07-29,333.7,131.2,"Perth Zoo"
"308",196,2004-09-09,341.9,131,"Perth Zoo"
"322",196,2006-07-23,336.6,130.9,"Perth Zoo"
"324",196,2006-07-28,336.6,130.9,"EB"
"325",196,2006-09-29,373.8,130.7,"EB"
"326",196,2007-08-03,305,130.5,"EB"
"327",196,2007-11-22,351,130.4,"EB"
"328",196,2008-06-12,304,130.3,"EB"
"329",196,2009-11-22,343,130.4,"EB"
"330",197,1992-11-17,153,98.4,"EB"
"331",197,1992-11-19,153,98.4,"Perth Zoo"
"339",197,1993-12-14,160,98.1,"Perth Zoo"
"344",197,1994-12-15,165,98.3,"Perth Zoo"
"350",197,1995-11-28,168,98.4,"Perth Zoo"
"357",197,1997-10-28,168,98.9,"Perth Zoo"
"360",197,1998-06-03,161.7,98.6,"Perth Zoo"
"363",197,1999-06-27,180.6,102,"Perth Zoo"
"371",197,2000-07-02,190.7,102.4,"Perth Zoo"
"380",197,2001-06-19,208.5,107,"Perth Zoo"
"389",197,2002-06-24,210.1,106.9,"Perth Zoo"
"395",197,2003-08-17,214.5,107.4,"Perth Zoo"
"401",197,2004-08-09,225.9,108.1,"Perth Zoo"
"413",197,2006-07-23,243.5,110.7,"Perth Zoo"
"415",197,2006-07-28,243.5,110.7,"EB"
"417",198,1992-11-17,264,122.1,"EB"
"418",198,1998-10-18,304.8,125.8,"EB"
"419",198,1999-06-06,278.5,125.5,"EB"
"420",198,2003-11-19,354,134.1,"EB"
"421",198,2004-06-14,343,134.4,"EB"
"423",198,2007-08-04,348,135,"EB"
"425",198,2007-08-05,334.5,135,"Perth Zoo"
"428",198,2008-11-18,360,135.3,"EB"
"429",198,2010-09-18,333,135,"EB"
"430",198,2011-06-03,338,135,"EB"
"431",199,1992-11-17,193,107.7,"EB"
"432",199,1992-11-19,193,107.3,"Perth Zoo"
"455",199,2000-06-05,209.2,110.1,"Perth Zoo"
"461",199,2002-08-11,226.7,111.5,"Perth Zoo"
"464",199,2003-08-17,239.5,112.2,"Perth Zoo"
"467",199,2004-07-30,259.1,113.6,"Perth Zoo"
"480",199,2006-07-23,268,116.7,"Perth Zoo"
"482",199,2006-07-28,268,116.7,"EB"
"484",199,2006-09-29,329.8,116.9,"EB"
"486",199,2008-11-18,285,120,"EB"
"487",199,2009-11-21,296,120.4,"EB"
"488",255,1992-11-17,169,104.9,"EB"
"489",255,1992-11-19,169,104.9,"EB"
"514",255,1998-06-03,183.7,107.9,"Perth Zoo"
"526",255,2000-07-02,209.1,109.2,"Perth Zoo"
